title,kind,duration,role,scope,summary,url
CEIBOS — Centro de Estudios Interdisciplinarios de Biodiversidad Orientado a aplicaciones en Salud,Interdisciplinary Center (EI),2021–2025,Co-coordinator,Uruguay,"5-year UdelaR interdisciplinary center. Lead: Dr Sonia Rodríguez Giordano (DEPBIO, Facultad de Química, UdelaR, Coordinator). Co-coordinators: Dr Pablo Dans (CENUR Litoral Norte, Salto, UdelaR) and Dr Carlos Testuri (INCO, Facultad de Ingeniería, UdelaR).",https://ceibos.ei.udelar.edu.uy/
HexABC — Ascona B-DNA Consortium,International consortium,2021–2026,Member of the consortium,Switzerland · Lithuania · Poland · Spain · Germany · USA · UK · Uruguay · France,"Latest ABC effort: systematic characterization of the physical properties of all 2080 unique hexanucleotides from a collection of 950 10 μs all-atom MD simulations.",https://mmb.irbbarcelona.org/webdev/slim/ABC/public/
ABSarbo — Aptamer-based strategies against arboviruses,EULAC-ANII project,2023–2025,Co-coordinator,Uruguay (HQ) · Peru · Mexico · Spain · Austria · Germany,"Aptamer-based biotechnological tools against arboviruses. Lead: Dr Calzada (Facultad de Ciencias, UdelaR). 6-country consortium.",https://www.rediba.org/about-4
Conformational space of DNA aptamers,CSIC I+D project,2023–2025,Main responsible,Uruguay · USA,"Structural and dynamic prediction of unusual DNA motifs — conformational space of aptamers. Partners: CENUR Litoral Norte (Salto), Facultad de Ciencias, Institut Pasteur de Montevideo, Facultad de Medicina, University of Florida.",
ProAgricultura — Proline accumulation in plants,CSIC I+D project,2022–2024,Member of the research team,Uruguay,"Multidisciplinary study of the benefits of proline accumulation in plants. Lead: Dr Santiago Signorelli, Facultad de Agronomía, UdelaR.",
Do AI dream of fluorinases? — AI-designed enzymes,FCE project,2024–2026,Member of the research group,Uruguay,"Artificial intelligence as a source of new enzymes for the biocatalytic synthesis of fluorinated compounds. Lead: Dr Paola Panizza, Facultad de Química, UdelaR.",
Coarse-grained DNA model for chromatin MD,PhD project (PEDECIBA Química / UdelaR),ongoing,Co-director,Uruguay,"PhD project of MSc Gabriela da Rosa: A new coarse-grained model of DNA for molecular dynamics simulations of chromatin. Co-director: Dr Gianna Cecchetto (Facultad de Química). CAP fellowship.",
In silico engineering of reductive aminases,MSc project (UdelaR / ANII),2020–2023,Co-director,Uruguay,"MSc in Biotechnology project of Lic. Gonzalo Lopez. In silico and experimental engineering of reductive aminases applied to obtaining radiotracers for PET diagnostics of neurodegenerative diseases. Co-directors: Dr Paola Panizza, Dr Sonia Rodriguez (Facultad de Química).",
ATPase × peroxynitrite,CENUR–UBA project,2023–2024,Member of the research group,Argentina · Uruguay,"Effect of peroxynitrite on ATPase activity and structure. Coordinator: Prof. Daniel Peluffo (UBA / CENUR Litoral Norte).",
3D organization and dynamics of the Trypanosoma cruzi genome,FCE project,2023–2024,Member of the research group,Uruguay,"Lead: Dr Florencia Viraqué (Institut Pasteur de Montevideo) with CENUR Litoral Norte.",
T-cell receptors and tissue homing,Crick Institute project,2023–2025,Member of the research group,United Kingdom · Uruguay,"Role of T cell receptors (TCR) in driving cells into association with their target tissues. Lead: Dr Leticia Monin (Crick Institute) with CENUR Litoral Norte.",
MODxNA — modified nucleic acid parameters for AMBER,International collaboration,2023–2024,Member of the research group,USA · Uruguay,"Database of thousands of DNA/RNA modified-base parameters for the AMBER force field. Partners: University of Utah, University of Maryland, IONIS Pharmaceuticals, CENUR Litoral Norte.",
Aptamers against Trypanosoma cruzi,REDIBA collaboration,2023–2024,Member of the research group,Peru · Uruguay,"Development of aptamers against T. cruzi. Lead: Dr Pohl Milón (Universidad Peruana de Ciencias Aplicadas) with CENUR Litoral Norte. Member of REDIBA.",https://www.rediba.org
Aptamers against Her2 (breast cancer),REDIBA / l'Oréal Uruguay,2022–2024,Member of the research group,Uruguay,"Development of aptamers against the Her2 receptor in breast cancer. Co-funded by l'Oréal Uruguay. Lead: Dr Calzada (Facultad de Ciencias, UdelaR) with CENUR Litoral Norte. Member of REDIBA.",https://www.rediba.org
Music from the molecule of life,Outreach project,2022–2026,Coordinator,Uruguay,"5-year project on music from MD simulations of DNA duplexes, in collaboration with Nicolás Molla (music producer and composer) and CENUR Litoral Norte.",
tRNA and plastic art (ARN for Export),Outreach project,2022–2024,Coordinator,Uruguay,"Travelling plastic-art exhibition on the structure of transfer RNA molecules (tRNAs) released into the inter-cellular space. Collaboration with Mariana Barraco (painter, art teacher and creator) and CENUR Litoral Norte.",
