title,kind,duration,role,scope,summary,url
CEIBOS — Centro de Estudios Interdisciplinarios de Biodiversidad Orientado a aplicaciones en Salud,Centro Interdisciplinario (EI),2021–2025,Co-coordinador,Uruguay,"Centro interdisciplinario de la UdelaR de 5 años. Coordinadora: Dra. Sonia Rodríguez Giordano (DEPBIO, Facultad de Química, UdelaR). Co-coordinadores: Dr. Pablo Dans (CENUR Litoral Norte, Salto, UdelaR) y Dr. Carlos Testuri (INCO, Facultad de Ingeniería, UdelaR).",https://ceibos.ei.udelar.edu.uy/
HexABC — Ascona B-DNA Consortium,Consorcio internacional,2021–2026,Miembro del consorcio,Suiza · Lituania · Polonia · España · Alemania · EE. UU. · Reino Unido · Uruguay · Francia,"El esfuerzo más reciente del consorcio ABC: caracterización sistemática de las propiedades físicas de los 2080 hexanucleótidos únicos a partir de 950 simulaciones MD all-atom de 10 μs.",https://mmb.irbbarcelona.org/webdev/slim/ABC/public/
ABSarbo — Estrategias basadas en aptámeros contra arbovirus,Proyecto EULAC-ANII,2023–2025,Co-coordinador,Uruguay (sede) · Perú · México · España · Austria · Alemania,"Herramientas biotecnológicas basadas en aptámeros contra arbovirus. Responsable: Dra. Calzada (Facultad de Ciencias, UdelaR). Consorcio de 6 países.",https://www.rediba.org/about-4
Espacio conformacional de aptámeros de ADN,Proyecto CSIC I+D,2023–2025,Responsable principal,Uruguay · EE. UU.,"Predicción estructural y dinámica de motivos inusuales de ADN — espacio conformacional de aptámeros. Socios: CENUR Litoral Norte (Salto), Facultad de Ciencias, Institut Pasteur de Montevideo, Facultad de Medicina, University of Florida.",
ProAgricultura — Acumulación de prolina en plantas,Proyecto CSIC I+D,2022–2024,Integrante del equipo,Uruguay,"Estudio multidisciplinario de los beneficios de la acumulación de prolina en plantas. Responsable: Dr. Santiago Signorelli, Facultad de Agronomía, UdelaR.",
¿Sueñan las IA con fluorinasas? — Enzimas diseñadas por IA,Proyecto FCE,2024–2026,Integrante del grupo,Uruguay,"Inteligencia artificial como fuente de nuevas enzimas para la síntesis biocatalítica de compuestos fluorados. Responsable: Dra. Paola Panizza, Facultad de Química, UdelaR.",
Modelo coarse-grained de ADN para MD de cromatina,Proyecto de doctorado (PEDECIBA Química / UdelaR),en curso,Co-director,Uruguay,"Tesis doctoral de MSc Gabriela da Rosa: un nuevo modelo coarse-grained de ADN para simulaciones de dinámica molecular de cromatina. Co-directora: Dra. Gianna Cecchetto (Facultad de Química). Beca CAP.",
Ingeniería in silico de aminasas reductivas,Proyecto de maestría (UdelaR / ANII),2020–2023,Co-director,Uruguay,"Tesis de Maestría en Biotecnología de Lic. Gonzalo Lopez. Ingeniería in silico y experimental de aminasas reductivas, aplicada a la obtención de radiotrazadores para diagnóstico PET de enfermedades neurodegenerativas. Co-directoras: Dra. Paola Panizza, Dra. Sonia Rodriguez (Facultad de Química).",
ATPasa × peroxinitrito,Proyecto CENUR–UBA,2023–2024,Integrante del grupo,Argentina · Uruguay,"Efecto del peroxinitrito sobre la actividad y estructura de ATPasas. Coordinador: Prof. Daniel Peluffo (UBA / CENUR Litoral Norte).",
Organización y dinámica 3D del genoma de Trypanosoma cruzi,Proyecto FCE,2023–2024,Integrante del grupo,Uruguay,"Responsable: Dra. Florencia Viraqué (Institut Pasteur de Montevideo) con el CENUR Litoral Norte.",
Receptores de células T y homing tisular,Proyecto Crick Institute,2023–2025,Integrante del grupo,Reino Unido · Uruguay,"Rol de los receptores de células T (TCR) en la asociación celular con sus tejidos blanco. Responsable: Dra. Leticia Monin (Crick Institute) con el CENUR Litoral Norte.",
MODxNA — Parámetros de ácidos nucleicos modificados para AMBER,Colaboración internacional,2023–2024,Integrante del grupo,EE. UU. · Uruguay,"Base de datos con miles de parámetros de bases modificadas de ADN/ARN para el campo de fuerzas AMBER. Socios: University of Utah, University of Maryland, IONIS Pharmaceuticals y CENUR Litoral Norte.",
Aptámeros contra Trypanosoma cruzi,Colaboración REDIBA,2023–2024,Integrante del grupo,Perú · Uruguay,"Desarrollo de aptámeros contra T. cruzi. Responsable: Dr. Pohl Milón (Universidad Peruana de Ciencias Aplicadas) con el CENUR Litoral Norte. Miembros de REDIBA.",https://www.rediba.org
Aptámeros contra Her2 (cáncer de mama),REDIBA / L'Oréal Uruguay,2022–2024,Integrante del grupo,Uruguay,"Desarrollo de aptámeros contra el receptor Her2 en cáncer de mama. Co-financiado por L'Oréal Uruguay. Responsable: Dra. Calzada (Facultad de Ciencias, UdelaR) con el CENUR Litoral Norte. Miembros de REDIBA.",https://www.rediba.org
Música desde la molécula de la vida,Proyecto de divulgación,2022–2026,Coordinador,Uruguay,"Proyecto a 5 años sobre música a partir de simulaciones MD de duplexes de ADN, en colaboración con Nicolás Molla (productor y compositor) y el CENUR Litoral Norte.",
ARN de transferencia y arte plástico (ARN for Export),Proyecto de divulgación,2022–2024,Coordinador,Uruguay,"Exposición itinerante de arte plástico sobre la estructura de los ARN de transferencia (tRNAs) liberados al espacio intercelular. Colaboración con Mariana Barraco (pintora, docente y creadora) y el CENUR Litoral Norte.",
